FYC,,Current,,MTD,,,YTD,,Month End of Last Year,Year End of Last Year
Agent,GA,,Last Year, Current Year, Growth% ,Last Year, Current Year, Growth%,,
agentId : fullname,01B,"0.00","0.00","0.00","0","3,381.73","63.00","-98.14","0.00","4,113.53"
